table_name,column_name,column_order,data_type,n_with_data,n_distinct,pct_with_data
cpcms_alias_data,defendant_name,3,VARCHAR,2643172,1178994,0.9999822186508194
cpcms_alias_data,docket_number,1,VARCHAR,2643219,767174,1
cpcms_alias_data,otn,2,VARCHAR,2634278,741411,0.99661738206331
cpcms_attorney_data,address,9,VARCHAR,4031373,28139,1
cpcms_attorney_data,attorney_name,3,VARCHAR,4031373,17317,1
cpcms_attorney_data,attorney_status,6,VARCHAR,4031373,3,1
cpcms_attorney_data,attorney_status_date,8,VARCHAR,4031373,1154109,1
cpcms_attorney_data,city,10,VARCHAR,3652672,1534,0.9060615328822215
cpcms_attorney_data,docket_number,1,VARCHAR,4031373,1467912,1
cpcms_attorney_data,otn,2,VARCHAR,4025823,1393788,0.9986232978193782
cpcms_attorney_data,representation_date,7,VARCHAR,4026604,1055385,0.998817028342453
cpcms_attorney_data,representation_type,5,VARCHAR,4031373,35,1
cpcms_attorney_data,state,11,VARCHAR,3653375,47,0.9062359151584336
cpcms_attorney_data,supreme_court_number,4,VARCHAR,2584068,14585,0.6409895586441642
cpcms_attorney_data,zip_code,12,VARCHAR,3652074,5904,0.9059131963229401
cpcms_bail_action_data,bail_action,8,VARCHAR,2161741,19,1
cpcms_bail_action_data,bail_action_authority,7,VARCHAR,2161730,2074,0.9999949115088256
cpcms_bail_action_data,bail_action_created_system,10,VARCHAR,2132252,612,0.986358680341447
cpcms_bail_action_data,bail_action_date,9,VARCHAR,2161192,1813937,0.9997460380313831
cpcms_bail_action_data,bail_identifier,3,VARCHAR,2161741,1456866,1
cpcms_bail_action_data,bail_percentage,6,VARCHAR,453480,10,0.20977536161825122
cpcms_bail_action_data,bail_set_amount,5,DOUBLE,2161741,1430,1
cpcms_bail_action_data,bail_type,4,VARCHAR,2127626,8,0.9842187385075271
cpcms_bail_action_data,docket_number,1,VARCHAR,2161741,1359849,1
cpcms_bail_action_data,otn,2,VARCHAR,2161498,1290947,0.9998875906040547
cpcms_bail_post_data,bail_identifier,3,VARCHAR,639361,587696,1
cpcms_bail_post_data,bail_post_created_system,10,VARCHAR,629837,608,0.9851038771523443
cpcms_bail_post_data,bail_posting_status,4,VARCHAR,639361,4,1
cpcms_bail_post_data,bail_posting_status_date,5,VARCHAR,639361,390572,1
cpcms_bail_post_data,docket_number,1,VARCHAR,639361,567379,1
