table_name,column_name,column_order,data_type,n_rows,n_with_data,n_distinct,pct_with_data,est_rows_same_value,likely_pii,action
cpcms_alias_data,defendant_name,3,VARCHAR,2643219,2643172,1178994,0.9999822186508194,2.24,TRUE,other
cpcms_alias_data,docket_number,1,VARCHAR,2643219,2643219,767174,1,3.45,FALSE,key
cpcms_alias_data,otn,2,VARCHAR,2643219,2634278,741411,0.99661738206331,3.55,FALSE,key
cpcms_attorney_data,address,9,VARCHAR,4031373,4031373,28139,1,143.27,FALSE,other
cpcms_attorney_data,attorney_name,3,VARCHAR,4031373,4031373,17317,1,232.8,FALSE,other
cpcms_attorney_data,attorney_status,6,VARCHAR,4031373,4031373,3,1,1343791,FALSE,group: <= 10
cpcms_attorney_data,attorney_status_date,8,VARCHAR,4031373,4031373,1154109,1,3.49,FALSE,date
cpcms_attorney_data,city,10,VARCHAR,4031373,3652672,1534,0.9060615328822215,2381.14,FALSE,other
cpcms_attorney_data,docket_number,1,VARCHAR,4031373,4031373,1467912,1,2.75,FALSE,key
cpcms_attorney_data,otn,2,VARCHAR,4031373,4025823,1393788,0.9986232978193782,2.89,FALSE,key
cpcms_attorney_data,representation_date,7,VARCHAR,4031373,4026604,1055385,0.998817028342453,3.82,FALSE,date
cpcms_attorney_data,representation_type,5,VARCHAR,4031373,4031373,35,1,115182.09,FALSE,other
cpcms_attorney_data,state,11,VARCHAR,4031373,3653375,47,0.9062359151584336,77731.38,FALSE,other
cpcms_attorney_data,supreme_court_number,4,VARCHAR,4031373,2584068,14585,0.6409895586441642,177.17,FALSE,other
cpcms_attorney_data,zip_code,12,VARCHAR,4031373,3652074,5904,0.9059131963229401,618.58,FALSE,other
cpcms_bail_action_data,bail_action,8,VARCHAR,2161741,2161741,19,1,113775.84,FALSE,group: <= 30
cpcms_bail_action_data,bail_action_authority,7,VARCHAR,2161741,2161730,2074,0.9999949115088256,1042.3,FALSE,other
cpcms_bail_action_data,bail_action_created_system,10,VARCHAR,2161741,2132252,612,0.986358680341447,3484.07,FALSE,other
cpcms_bail_action_data,bail_action_date,9,VARCHAR,2161741,2161192,1813937,0.9997460380313831,1.19,FALSE,date
cpcms_bail_action_data,bail_identifier,3,VARCHAR,2161741,2161741,1456866,1,1.48,FALSE,likely key
cpcms_bail_action_data,bail_percentage,6,VARCHAR,2161741,453480,10,0.20977536161825122,45348,FALSE,drop: many nulls
cpcms_bail_action_data,bail_set_amount,5,DOUBLE,2161741,2161741,1430,1,1511.71,FALSE,numeric
