title_number,title_text,chapter_number,chapter_text,offense_section,offense_text,section_number,section_text,subsection_number,subsection_text,article_number,article_text
63,PROFESSIONS AND OCCUPATIONS (STATE LICENSED),10,PAWNBROKERS LICENSE ACT,281-31,Penalties,281-31,Penalties,,,,
63,PROFESSIONS AND OCCUPATIONS (STATE LICENSED),11,PHARMACY ACT,390-8,Unlawful acts,390-8,Unlawful acts,,,,
47,LIQUOR,4,BEVERAGE LICENSE AND TAX LAWS,4-491,"Unlawful acts relative to liquor, alcohol and liquor licensees",4-491,"Unlawful acts relative to liquor, alcohol and liquor licensees",,,IV,"LICENSES AND REGULATIONS; LIQUOR, ALCOHOL AND MALT AND BREWED BEVERAGES"
47,LIQUOR,4,BEVERAGE LICENSE AND TAX LAWS,4-492,Unlawful acts relative to malt or brewed beverages and licensees,4-492,Unlawful acts relative to malt or brewed beverages and licensees,,,IV,"LICENSES AND REGULATIONS; LIQUOR, ALCOHOL AND MALT AND BREWED BEVERAGES"
47,LIQUOR,4,BEVERAGE LICENSE AND TAX LAWS,4-493,"Unlawful Acts Relative to Liquor, Malt and Brewed Beverages and Licensees",4-493,"Unlawful Acts Relative to Liquor, Malt and Brewed Beverages and Licensees",,,IV,"LICENSES AND REGULATIONS; LIQUOR, ALCOHOL AND MALT AND BREWED BEVERAGES"
47,LIQUOR,4,BEVERAGE LICENSE AND TAX LAWS,4-499,Premises to be vacated by patrons,4-499,Premises to be vacated by patrons,,,IV,"LICENSES AND REGULATIONS; LIQUOR, ALCOHOL AND MALT AND BREWED BEVERAGES"
3,AGRICULTURE,8,DOG LAW,459-200,Issuance of dog licenses; compensation; proof required; deposit of funds; records; license sales; rules and regulations; failure to comply; unlawful acts; penalty,459-200,Issuance of dog licenses; compensation; proof required; deposit of funds; records; license sales; rules and regulations; failure to comply; unlawful acts; penalty,,,II,"Licenses, Tags and Kennels"
3,AGRICULTURE,8,DOG LAW,459-201,Applications for dog licenses; fees; penalties,459-201,Applications for dog licenses; fees; penalties,,,II,"Licenses, Tags and Kennels"
3,AGRICULTURE,8,DOG LAW,459-202,License certificates; tag removal; exclusion for some dogs,459-202,License certificates; tag removal; exclusion for some dogs,,,II,"Licenses, Tags and Kennels"
3,AGRICULTURE,8,DOG LAW,459-203,Tags furnished to county treasurers and other agents; lost tags,459-203,Tags furnished to county treasurers and other agents; lost tags,,,II,"Licenses, Tags and Kennels"
3,AGRICULTURE,8,DOG LAW,459-204,Deleted,459-204,Deleted,,,II,"Licenses, Tags and Kennels"
3,AGRICULTURE,8,DOG LAW,459-205,Transfer of dog licenses or tags; other licensing requirements,459-205,Transfer of dog licenses or tags; other licensing requirements,,,II,"Licenses, Tags and Kennels"
3,AGRICULTURE,8,DOG LAW,459-206,Kennels,459-206,Kennels,,,II,"Licenses, Tags and Kennels"
