table_name,column_name,column_order,data_type,pct_with_data,n_records,n_distinct
case_stats,docket_number,1,VARCHAR,1,584160,578028
case_stats,otn,2,VARCHAR,0.997081279101616,582455,562952
case_stats,originating_docket_number,3,VARCHAR,0.9969785675157491,582395,581279
case_stats,arrest_date,4,DATE,1,584160,14320
case_stats,filed_date,5,DATE,1,584160,13503
case_stats,first_sentence_date,6,TIMESTAMP,1,584160,471952
case_stats,age_at_arrest,7,BIGINT,0.9990430703916735,583601,131
case_stats,defendant_gender,8,VARCHAR,0.9992074089290606,583697,3
case_stats,defendant_race,9,VARCHAR,0.9954789783620925,581519,8
case_stats,defendant_zip_code,10,VARCHAR,0.9829447411668036,574197,19571
case_stats,county,11,VARCHAR,1,584160,59
case_stats,total_money_owed,12,DOUBLE,0.4371251027115859,255351,43492
case_stats,current_balance,13,DOUBLE,0.4371251027115859,255351,48147
case_stats,public_defender_ind,14,INTEGER,1,584160,2
case_stats,guilty_plea_ind,15,INTEGER,1,584160,2
case_stats,probation_eligible_ind,16,INTEGER,1,584160,2
case_stats,bail_amount,17,DOUBLE,1,584160,476
case_stats,unable_to_post_ind,18,INTEGER,1,584160,2
case_stats,diversionary_ind,19,INTEGER,1,584160,2
cpcms_alias_data,docket_number,1,VARCHAR,1,2643219,767174
cpcms_alias_data,otn,2,VARCHAR,0.99661738206331,2634278,741411
cpcms_alias_data,defendant_name,3,VARCHAR,0.9999822186508194,2643172,1178994
cpcms_attorney_data,docket_number,1,VARCHAR,1,4031373,1467912
cpcms_attorney_data,otn,2,VARCHAR,0.9986232978193782,4025823,1393788
cpcms_attorney_data,attorney_name,3,VARCHAR,1,4031373,17317
cpcms_attorney_data,supreme_court_number,4,VARCHAR,0.6409895586441642,2584068,14585
cpcms_attorney_data,representation_type,5,VARCHAR,1,4031373,35
cpcms_attorney_data,attorney_status,6,VARCHAR,1,4031373,3
cpcms_attorney_data,representation_date,7,DATE,0.998817028342453,4026604,14596
cpcms_attorney_data,attorney_status_date,8,DATE,1,4031373,14574
cpcms_attorney_data,address,9,VARCHAR,1,4031373,28139
cpcms_attorney_data,city,10,VARCHAR,0.9060615328822215,3652672,1534
cpcms_attorney_data,state,11,VARCHAR,0.9062359151584336,3653375,47
cpcms_attorney_data,zip_code,12,VARCHAR,0.9059131963229401,3652074,5904
cpcms_bail_action_data,docket_number,1,VARCHAR,1,2161741,1359849
cpcms_bail_action_data,otn,2,VARCHAR,0.9998875906040547,2161498,1290947
cpcms_bail_action_data,bail_identifier,3,VARCHAR,1,2161741,1456866
cpcms_bail_action_data,bail_type,4,VARCHAR,0.9842187385075271,2127626,8
cpcms_bail_action_data,bail_set_amount,5,DOUBLE,1,2161741,1430
cpcms_bail_action_data,bail_percentage,6,VARCHAR,0.20977536161825122,453480,10
cpcms_bail_action_data,bail_action_authority,7,VARCHAR,0.9999949115088256,2161730,2074
cpcms_bail_action_data,bail_action,8,VARCHAR,1,2161741,19
cpcms_bail_action_data,bail_action_date,9,DATE,0.9997460380313831,2161192,10339
cpcms_bail_action_data,bail_action_created_system,10,VARCHAR,0.986358680341447,2132252,612
cpcms_bail_post_data,docket_number,1,VARCHAR,1,639361,567379
cpcms_bail_post_data,otn,2,VARCHAR,0.9997794673118943,639220,547990
cpcms_bail_post_data,bail_identifier,3,VARCHAR,1,639361,587696
cpcms_bail_post_data,bail_posting_status,4,VARCHAR,1,639361,4
cpcms_bail_post_data,bail_posting_status_date,5,DATE,1,639361,10010
cpcms_bail_post_data,security_type,6,VARCHAR,0.9999014641180803,639298,14
cpcms_bail_post_data,security_amount,7,DOUBLE,0.9999014641180803,639298,816
cpcms_bail_post_data,surety_type,8,VARCHAR,0.9973880170983216,637691,7
