title_number,title_text,chapter_number,chapter_text,offense_section,offense_text,section_number,section_text,subsection_number,subsection_text
01,General Provisions,1,"Short Title, Form of Citation and Effective Date",101,Short title,101,Short title,NA,NA
01,General Provisions,1,"Short Title, Form of Citation and Effective Date",102,Citation of Pennsylvania Consolidated Statutes,102,Citation of Pennsylvania Consolidated Statutes,NA,NA
01,General Provisions,1,"Short Title, Form of Citation and Effective Date",103,Effective date,103,Effective date,NA,NA
01,General Provisions,3,Format of the Consolidated Statutes,301,Arrangement,301,Arrangement,NA,NA
01,General Provisions,3,Format of the Consolidated Statutes,302,Section headings,302,Section headings,NA,NA
01,General Provisions,3,Format of the Consolidated Statutes,303,Cross references between provisions of the Consolidated Statutes,303,Cross references between provisions of the Consolidated Statutes,NA,NA
01,General Provisions,3,Format of the Consolidated Statutes,304,References to other statutes,304,References to other statutes,NA,NA
01,General Provisions,3,Format of the Consolidated Statutes,305,Re-use of section numbers,305,Re-use of section numbers,NA,NA
01,General Provisions,3,Format of the Consolidated Statutes,306,Bills to amend the Consolidated Statutes,306,Bills to amend the Consolidated Statutes,NA,NA
01,General Provisions,5,Official Publication of the Consolidated Statutes,501,Publication and distribution,501,Publication and distribution,NA,NA
01,General Provisions,5,Official Publication of the Consolidated Statutes,502,Preparation and contents,502,Preparation and contents,NA,NA
01,General Provisions,5,Official Publication of the Consolidated Statutes,503,Official status of publication,503,Official status of publication,NA,NA
01,General Provisions,9,Constitutional Provisions,901,Legislation to show changes,901,Legislation to show changes,NA,NA
01,General Provisions,9,Constitutional Provisions,902,Conduct of election,902,Conduct of election,NA,NA
01,General Provisions,9,Constitutional Provisions,903,Governor to proclaim result of election,903,Governor to proclaim result of election,NA,NA
01,General Provisions,9,Constitutional Provisions,904,Governor to proclaim corrected numbering,904,Governor to proclaim corrected numbering,NA,NA
01,General Provisions,9,Constitutional Provisions,905,Section headings,905,Section headings,NA,NA
01,General Provisions,9,Constitutional Provisions,906,Short titles of Constitutions of 1874 and 1968,906,Short titles of Constitutions of 1874 and 1968,NA,NA
01,General Provisions,11,Statutory Provisions,1101,Enacting clause and unofficial provisions,1101,Enacting clause and unofficial provisions,NA,NA
01,General Provisions,11,Statutory Provisions,1102,Publication of notice of application for local or special legislation,1102,Publication of notice of application for local or special legislation,NA,NA
01,General Provisions,11,Statutory Provisions,1103,Preparation of statutes for printing,1103,Preparation of statutes for printing,NA,NA
01,General Provisions,11,Statutory Provisions,1104,Printing of amendatory statutes,1104,Printing of amendatory statutes,NA,NA
01,General Provisions,11,Statutory Provisions,1105,Editing statutes for printing,1105,Editing statutes for printing,NA,NA
01,General Provisions,11,Statutory Provisions,1106,Prothonotaries to keep files of advance copies of statutes,1106,Prothonotaries to keep files of advance copies of statutes,NA,NA
01,General Provisions,15,General Provisions,1501,Short title of part,1501,Short title of part,NA,NA
01,General Provisions,15,General Provisions,1502,Application of part,1502,Application of part,NA,NA
01,General Provisions,15,General Provisions,1503,Applicability of colonial law,1503,Applicability of colonial law,NA,NA
01,General Provisions,15,General Provisions,1504,Statutory remedy preferred over common law,1504,Statutory remedy preferred over common law,NA,NA
01,General Provisions,17,Effective Date of Statutes,1701,Statutes generally,1701,Statutes generally,NA,NA
01,General Provisions,17,Effective Date of Statutes,1702,Statutes making appropriations,1702,Statutes making appropriations,NA,NA
01,General Provisions,17,Effective Date of Statutes,1703,Statutes affecting the budget of any political subdivision,1703,Statutes affecting the budget of any political subdivision,NA,NA
01,General Provisions,17,Effective Date of Statutes,1704,Statutes enacted at a special session,1704,Statutes enacted at a special session,NA,NA
01,General Provisions,19,Rules of Construction,1901,Rules of interpretation,1901,Rules of interpretation,NA,NA
01,General Provisions,19,Rules of Construction,1902,Number; gender; tense,1902,Number; gender; tense,NA,NA
01,General Provisions,19,Rules of Construction,1903,Words and phrases,1903,Words and phrases,NA,NA
01,General Provisions,19,Rules of Construction,1904,Numerals,1904,Numerals,NA,NA
01,General Provisions,19,Rules of Construction,1905,Joint authority; quorum,1905,Joint authority; quorum,NA,NA
01,General Provisions,19,Rules of Construction,1906,Bonds,1906,Bonds,NA,NA
01,General Provisions,19,Rules of Construction,1907,Uniform standard time,1907,Uniform standard time,NA,NA
01,General Provisions,19,Rules of Construction,1908,Computation of time,1908,Computation of time,NA,NA
01,General Provisions,19,Rules of Construction,1909,Time; publication for successive weeks,1909,Time; publication for successive weeks,NA,NA
01,General Provisions,19,Rules of Construction,1910,Time; computation of months,1910,Time; computation of months,NA,NA
01,General Provisions,19,Rules of Construction,1921,Legislative intent controls,1921,Legislative intent controls,NA,NA
01,General Provisions,19,Rules of Construction,1922,Presumptions in ascertaining legislative intent,1922,Presumptions in ascertaining legislative intent,NA,NA
01,General Provisions,19,Rules of Construction,1923,Grammar and punctuation of statutes,1923,Grammar and punctuation of statutes,NA,NA
01,General Provisions,19,Rules of Construction,1924,"Construction of titles, preambles, provisos, exceptions and headings",1924,"Construction of titles, preambles, provisos, exceptions and headings",NA,NA
01,General Provisions,19,Rules of Construction,1925,Constitutional construction of statutes,1925,Constitutional construction of statutes,NA,NA
01,General Provisions,19,Rules of Construction,1926,Presumption against retroactive effect,1926,Presumption against retroactive effect,NA,NA
01,General Provisions,19,Rules of Construction,1927,Construction of uniform laws,1927,Construction of uniform laws,NA,NA
01,General Provisions,19,Rules of Construction,1928,Rule of strict and liberal construction,1928,Rule of strict and liberal construction,NA,NA
01,General Provisions,19,Rules of Construction,1929,Penalties no bar to civil remedies,1929,Penalties no bar to civil remedies,NA,NA
01,General Provisions,19,Rules of Construction,1930,Penalties for each offense,1930,Penalties for each offense,NA,NA
01,General Provisions,19,Rules of Construction,1931,Intent to defraud,1931,Intent to defraud,NA,NA
