table_name,column_name,column_order,data_type,n_rows,pct_with_data,n_records,n_distinct,est_rows_same_value,likely_pii,action
case_stats,docket_number,1,VARCHAR,584160,1,584160,578028,1.01,FALSE,key
case_stats,otn,2,VARCHAR,584160,0.997081279101616,582455,562952,1.03,FALSE,key
case_stats,originating_docket_number,3,VARCHAR,584160,0.9969785675157491,582395,581279,1,FALSE,key
case_stats,arrest_date,4,DATE,584160,1,584160,14320,40.79,FALSE,date
case_stats,filed_date,5,DATE,584160,1,584160,13503,43.26,FALSE,date
case_stats,first_sentence_date,6,TIMESTAMP,584160,1,584160,471952,1.24,FALSE,date
case_stats,age_at_arrest,7,BIGINT,584160,0.9990430703916735,583601,131,4454.97,FALSE,other
case_stats,defendant_gender,8,VARCHAR,584160,0.9992074089290606,583697,3,194565.67,FALSE,group: <= 10
case_stats,defendant_race,9,VARCHAR,584160,0.9954789783620925,581519,8,72689.88,FALSE,group: <= 10
case_stats,defendant_zip_code,10,VARCHAR,584160,0.9829447411668036,574197,19571,29.34,FALSE,other
case_stats,county,11,VARCHAR,584160,1,584160,59,9901.02,FALSE,other
case_stats,total_money_owed,12,DOUBLE,584160,0.4371251027115859,255351,43492,5.87,FALSE,drop: many nulls
case_stats,current_balance,13,DOUBLE,584160,0.4371251027115859,255351,48147,5.3,FALSE,drop: many nulls
case_stats,public_defender_ind,14,INTEGER,584160,1,584160,2,292080,FALSE,group: dichotomous
case_stats,guilty_plea_ind,15,INTEGER,584160,1,584160,2,292080,FALSE,group: dichotomous
case_stats,probation_eligible_ind,16,INTEGER,584160,1,584160,2,292080,FALSE,group: dichotomous
case_stats,bail_amount,17,DOUBLE,584160,1,584160,476,1227.23,FALSE,numeric
case_stats,unable_to_post_ind,18,INTEGER,584160,1,584160,2,292080,FALSE,group: dichotomous
case_stats,diversionary_ind,19,INTEGER,584160,1,584160,2,292080,FALSE,group: dichotomous
cpcms_alias_data,docket_number,1,VARCHAR,2643219,1,2643219,767174,3.45,FALSE,key
cpcms_alias_data,otn,2,VARCHAR,2643219,0.99661738206331,2634278,741411,3.55,FALSE,key
cpcms_alias_data,defendant_name,3,VARCHAR,2643219,0.9999822186508194,2643172,1178994,2.24,TRUE,other
cpcms_attorney_data,docket_number,1,VARCHAR,4031373,1,4031373,1467912,2.75,FALSE,key
cpcms_attorney_data,otn,2,VARCHAR,4031373,0.9986232978193782,4025823,1393788,2.89,FALSE,key
cpcms_attorney_data,attorney_name,3,VARCHAR,4031373,1,4031373,17317,232.8,FALSE,other
cpcms_attorney_data,supreme_court_number,4,VARCHAR,4031373,0.6409895586441642,2584068,14585,177.17,FALSE,other
cpcms_attorney_data,representation_type,5,VARCHAR,4031373,1,4031373,35,115182.09,FALSE,other
cpcms_attorney_data,attorney_status,6,VARCHAR,4031373,1,4031373,3,1343791,FALSE,group: <= 10
cpcms_attorney_data,representation_date,7,DATE,4031373,0.998817028342453,4026604,14596,275.87,FALSE,date
cpcms_attorney_data,attorney_status_date,8,DATE,4031373,1,4031373,14574,276.61,FALSE,date
cpcms_attorney_data,address,9,VARCHAR,4031373,1,4031373,28139,143.27,FALSE,other
cpcms_attorney_data,city,10,VARCHAR,4031373,0.9060615328822215,3652672,1534,2381.14,FALSE,other
cpcms_attorney_data,state,11,VARCHAR,4031373,0.9062359151584336,3653375,47,77731.38,FALSE,other
cpcms_attorney_data,zip_code,12,VARCHAR,4031373,0.9059131963229401,3652074,5904,618.58,FALSE,other
cpcms_bail_action_data,docket_number,1,VARCHAR,2161741,1,2161741,1359849,1.59,FALSE,key
cpcms_bail_action_data,otn,2,VARCHAR,2161741,0.9998875906040547,2161498,1290947,1.67,FALSE,key
cpcms_bail_action_data,bail_identifier,3,VARCHAR,2161741,1,2161741,1456866,1.48,FALSE,likely key
cpcms_bail_action_data,bail_type,4,VARCHAR,2161741,0.9842187385075271,2127626,8,265953.25,FALSE,group: <= 10
cpcms_bail_action_data,bail_set_amount,5,DOUBLE,2161741,1,2161741,1430,1511.71,FALSE,numeric
cpcms_bail_action_data,bail_percentage,6,VARCHAR,2161741,0.20977536161825122,453480,10,45348,FALSE,drop: many nulls
cpcms_bail_action_data,bail_action_authority,7,VARCHAR,2161741,0.9999949115088256,2161730,2074,1042.3,FALSE,other
cpcms_bail_action_data,bail_action,8,VARCHAR,2161741,1,2161741,19,113775.84,FALSE,group: <= 30
